filename,width,height,class,xmin,ymin,xmax,ymax
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_0001_train_p_day_20210416_48.jpg,1920,1080,car,296,309,378,387
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_0001_train_p_day_20210416_81.jpg,1920,1080,car,294,309,379,387
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_0001_train_p_day_20210416_81.jpg,1920,1080,car,71,299,109,353
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00091_train_p_day_20210416_701.jpg,4096,2160,car,2594,624,2804,846
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00091_train_p_day_20210416_701.jpg,4096,2160,car,722,733,1184,1185
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00091_train_p_day_20210416_701.jpg,4096,2160,motorbike,1450,1289,1739,1602
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00091_train_p_day_20210416_701.jpg,4096,2160,motorbike,1983,1584,2262,2091
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00091_train_p_day_20210416_701.jpg,4096,2160,car,2597,1232,3301,1903
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00091_train_p_day_20210416_701.jpg,4096,2160,car,2025,423,2443,897
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00091_train_p_day_20210416_701.jpg,4096,2160,car,683,328,901,546
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,1,295,75,372
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,motorbike,1501,496,1583,628
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,1540,539,1918,813
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,287,691,574,983
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,motorbike,905,680,1027,932
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,1356,406,1737,548
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,307,293,420,401
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,418,248,483,313
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,0,364,94,485
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00068_train_p_day_20210416_3502.jpg,1920,1080,car,46,390,251,581
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00097_train_p_day_20210416_3237.jpg,1920,1080,motorbike,344,309,437,370
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00097_train_p_day_20210416_3237.jpg,1920,1080,motorbike,890,289,956,347
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00097_train_p_day_20210416_3237.jpg,1920,1080,motorbike,1168,576,1290,818
/project/train/src_repo/dataset/images/train/vehicle_public_roads_avenue_00097_train_p_day_20210416_3237.jpg,1920,1080,motorbike,442,312,536,375
